Wavelength (nm),Glass_n,Glass_k,ITO_n,ITO_k,PEDOT:PSS_n,PEDOT:PSS_k,PM6L8BO_n,PM6L8BO_k,PDINN_n,PDINN_k,Air_n,Air_k
441,1.51274,0,1.9298,0.00149,1.534592913,0.003215645,1.557172636,0.342295376,1.736357239,0.012480495,1,0
442,1.51269,0,1.92866,0.0015,1.534388189,0.003250591,1.556149902,0.343682405,1.735413029,0.011812147,1,0
443,1.51265,0,1.92752,0.00151,1.534183465,0.003285538,1.555118899,0.345095259,1.73447869,0.01119162,1,0
444,1.5126,0,1.92633,0.00152,1.53397874,0.003320102,1.55405467,0.346611859,1.733584007,0.010763221,1,0
445,1.51256,0,1.92518,0.00153,1.533774016,0.003353776,1.552990442,0.34812846,1.732689325,0.010334821,1,0
446,1.51252,0,1.92406,0.00154,1.533569291,0.003387449,1.551926213,0.34964506,1.731794642,0.009906422,1,0
447,1.51248,0,1.92292,0.00155,1.533364567,0.003421122,1.550861984,0.351161661,1.730899959,0.009478023,1,0
448,1.51244,0,1.9218,0.00156,1.533159843,0.003454796,1.549797755,0.352678262,1.730005277,0.009049623,1,0
449,1.5124,0,1.92067,0.00157,1.532955118,0.003488469,1.548733526,0.354194862,1.729110594,0.008621224,1,0
450,1.51236,0,1.91954,0.00159,1.532750394,0.003522143,1.547669297,0.355711463,1.728215912,0.008192825,1,0
451,1.51232,0,1.91843,0.0016,1.532545669,0.003555816,1.5465988,0.357250828,1.727333276,0.007790389,1,0
452,1.51228,0,1.91737,0.00161,1.532340945,0.00358949,1.545492334,0.358920828,1.726519776,0.007536949,1,0
453,1.51224,0,1.91627,0.00162,1.532145378,0.003623163,1.544385867,0.360590829,1.725706275,0.007283508,1,0
454,1.5122,0,1.91513,0.00163,1.531952101,0.003656837,1.543279401,0.362260829,1.724892774,0.007030068,1,0
455,1.51216,0,1.91401,0.00164,1.531758824,0.00369051,1.542172934,0.363930829,1.724079273,0.006776627,1,0
456,1.51212,0,1.91291,0.00165,1.531565546,0.003724184,1.541066468,0.36560083,1.723265772,0.006523187,1,0
457,1.51208,0,1.91184,0.00167,1.531372269,0.003757857,1.539960001,0.36727083,1.722452271,0.006269746,1,0
458,1.51204,0,1.91078,0.00168,1.531178992,0.003791531,1.538853534,0.368940831,1.72163877,0.006016306,1,0
459,1.512,0,1.9097,0.00169,1.530985714,0.003825204,1.537747068,0.370610831,1.72082527,0.005762866,1,0
460,1.51195,0,1.90857,0.0017,1.530792437,0.003858878,1.536607911,0.372426756,1.720083665,0.005607016,1,0
461,1.51191,0,1.90748,0.00171,1.53059916,0.003892551,1.535460546,0.374279322,1.719360113,0.005475671,1,0
462,1.51187,0,1.90642,0.00173,1.530405882,0.003926224,1.534313181,0.376131887,1.718636561,0.005344326,1,0
463,1.51183,0,1.90536,0.00174,1.530212605,0.003959898,1.533165816,0.377984453,1.717913009,0.005212981,1,0
464,1.51179,0,1.90429,0.00175,1.530019328,0.00398878,1.532018451,0.379837019,1.717189456,0.005081636,1,0
465,1.51175,0,1.90323,0.00177,1.529818487,0.00401561,1.530871086,0.381689584,1.716465904,0.004950291,1,0
466,1.51171,0,1.90216,0.00178,1.529616807,0.004042439,1.529723721,0.38354215,1.715742352,0.004818945,1,0
467,1.51168,0,1.9011,0.00179,1.529415126,0.004069268,1.528576356,0.385394716,1.7150188,0.0046876,1,0
468,1.51164,0,1.90004,0.0018,1.529213445,0.004096098,1.527423995,0.387277053,1.714306856,0.004567393,1,0
469,1.51161,0,1.89897,0.00182,1.529011765,0.004122927,1.526239653,0.389349985,1.713669228,0.00451849,1,0
470,1.51157,0,1.8979,0.00183,1.528810084,0.004149756,1.525055311,0.391422917,1.713031599,0.004469587,1,0
471,1.51154,0,1.8969,0.00184,1.528608403,0.004176585,1.523870969,0.39349585,1.71239397,0.004420684,1,0
472,1.51151,0,1.89587,0.00186,1.528406723,0.004203415,1.522686627,0.395568782,1.711756342,0.004371781,1,0
473,1.51147,0,1.89481,0.00187,1.528205042,0.004230244,1.521502285,0.397641714,1.711118713,0.004322878,1,0
474,1.51144,0,1.89375,0.00189,1.528003361,0.004257073,1.520317943,0.399714646,1.710481084,0.004273975,1,0
475,1.51141,0,1.8927,0.0019,1.527801681,0.004283902,1.5191336,0.401787578,1.709843456,0.004225072,1,0
476,1.51137,0,1.89169,0.00191,1.5276,0.004310732,1.517949258,0.403860511,1.709205827,0.004176169,1,0
477,1.51134,0,1.89065,0.00193,1.527430882,0.004337561,1.516761144,0.405970358,1.708578831,0.004134751,1,0
478,1.5113,0,1.88959,0.00194,1.527261765,0.00436439,1.515549405,0.408311378,1.708018415,0.004140206,1,0
479,1.51127,0,1.88853,0.00196,1.527092647,0.00439122,1.514337666,0.410652397,1.707457999,0.00414566,1,0
480,1.51124,0,1.88749,0.00197,1.526923529,0.004418049,1.513125927,0.412993417,1.706897583,0.004151114,1,0
481,1.5112,0,1.88648,0.00198,1.526754412,0.004444878,1.511914188,0.415334436,1.706337167,0.004156569,1,0
482,1.51117,0,1.88548,0.002,1.526585294,0.004471707,1.51070245,0.417675456,1.705776752,0.004162023,1,0
483,1.51114,0,1.88447,0.00201,1.526416176,0.004498537,1.509490711,0.420016475,1.705216336,0.004167478,1,0
484,1.5111,0,1.8834,0.00203,1.526247059,0.004525366,1.508278972,0.422357494,1.70465592,0.004172932,1,0
485,1.51107,0,1.88238,0.00204,1.526077941,0.004552195,1.507067233,0.424698514,1.704095504,0.004178387,1,0
486,1.51104,0,1.88137,0.00206,1.525908824,0.004579024,1.505855494,0.427039533,1.703535088,0.004183841,1,0
487,1.511,0,1.88037,0.00207,1.525739706,0.004605854,1.504636573,0.429640363,1.703026716,0.004206703,1,0
488,1.51097,0,1.87934,0.00209,1.525570588,0.004633577,1.503415714,0.432311301,1.702532388,0.004234263,1,0
489,1.51093,0,1.87828,0.0021,1.525401471,0.00466935,1.502194855,0.434982239,1.702038059,0.004261823,1,0
490,1.5109,0,1.87727,0.00212,1.525229412,0.004705122,1.500973996,0.437653177,1.70154373,0.004289383,1,0
491,1.51087,0,1.87627,0.00213,1.525052941,0.004740894,1.499753137,0.440324114,1.701049402,0.004316943,1,0
492,1.51083,0,1.87526,0.00215,1.524876471,0.004776667,1.498532278,0.442995052,1.700555073,0.004344502,1,0
493,1.5108,0,1.87426,0.00217,1.5247,0.004812439,1.497311419,0.44566599,1.700060744,0.004372062,1,0
494,1.51077,0,1.87326,0.00218,1.524523529,0.004848211,1.49609056,0.448336928,1.699566416,0.004399622,1,0
495,1.51073,0,1.87226,0.0022,1.524347059,0.004883984,1.494869701,0.451007866,1.699072087,0.004427182,1,0
496,1.5107,0,1.87126,0.00221,1.524170588,0.004919756,1.493650418,0.453704731,1.698581269,0.004454805,1,0
497,1.51067,0,1.87025,0.00223,1.523994118,0.004955528,1.492454501,0.456785918,1.698142482,0.004483359,1,0
498,1.51064,0,1.86925,0.00224,1.523817647,0.004991301,1.491258583,0.459867105,1.697703696,0.004511913,1,0
499,1.51061,0,1.86825,0.00226,1.523641176,0.005027073,1.490062666,0.462948291,1.69726491,0.004540467,1,0
500,1.51057,0,1.86725,0.00228,1.523464706,0.005062846,1.488866748,0.466029478,1.696826124,0.004569021,1,0
501,1.51054,0,1.86625,0.00229,1.523288235,0.005098618,1.487670831,0.469110665,1.696387337,0.004597576,1,0
502,1.51051,0,1.86524,0.00231,1.523111765,0.00513439,1.486474913,0.472191852,1.695948551,0.00462613,1,0
503,1.51048,0,1.86424,0.00233,1.522935294,0.005170163,1.485278996,0.475273039,1.695509765,0.004654684,1,0
504,1.51044,0,1.86324,0.00234,1.522758824,0.005205935,1.484083078,0.478354226,1.695070978,0.004683238,1,0
505,1.51041,0,1.86224,0.00236,1.522582353,0.005241707,1.482887161,0.481435412,1.694632192,0.004711793,1,0
506,1.51038,0,1.86123,0.00238,1.522405882,0.00527748,1.481691244,0.484516599,1.694193406,0.004740347,1,0
507,1.51035,0,1.86023,0.00239,1.522234359,0.005313252,1.480576682,0.488081606,1.693798144,0.004770059,1,0
508,1.51031,0,1.85923,0.00241,1.522070256,0.005349024,1.47946712,0.491676347,1.693405558,0.004799842,1,0
509,1.51028,0,1.85823,0.00243,1.521906154,0.005384797,1.478357558,0.495271089,1.693012971,0.004829625,1,0
510,1.51025,0,1.85723,0.00245,1.521742051,0.005420569,1.477247996,0.49886583,1.692620385,0.004859408,1,0
511,1.51022,0,1.85622,0.00246,1.521577949,0.005456341,1.476138434,0.502460572,1.692227798,0.004889191,1,0
512,1.51019,0,1.85522,0.00248,1.521413846,0.005492114,1.475028872,0.506055313,1.691835212,0.004918974,1,0
513,1.51015,0,1.85422,0.0025,1.521249744,0.005536716,1.47391931,0.509650055,1.691442625,0.004948757,1,0
514,1.51012,0,1.85327,0.00252,1.521085641,0.005590147,1.472809749,0.513244796,1.691050039,0.00497854,1,0
515,1.51009,0,1.85232,0.00253,1.520921538,0.005643578,1.471700187,0.516839538,1.690657452,0.005008323,1,0
516,1.51006,0,1.85131,0.00255,1.520757436,0.00569701,1.470590625,0.520434279,1.690264866,0.005038106,1,0
517,1.51002,0,1.85031,0.00257,1.520593333,0.005750441,1.469559466,0.524286428,1.689887392,0.005068385,1,0
518,1.50999,0,1.84931,0.00259,1.520429231,0.005803873,1.468646306,0.528525977,1.689532664,0.005099409,1,0
