Wavelength (nm),Glass_n,Glass_k,ITO_n,ITO_k,PEDOT:PSS_n,PEDOT:PSS_k,PDINN_n,PDINN_k,Air_n,Air_k,PM6L8BOOFIB_n,PM6L8BOOFIB_k
474,1.51144,0,1.89375,0.00189,1.528003361,0.004257073,1.710481084,0.004273975,1,0,1.360895611,0.506259225
475,1.51141,0,1.8927,0.0019,1.527801681,0.004283902,1.709843456,0.004225072,1,0,1.359684483,0.508129321
476,1.51137,0,1.89169,0.00191,1.5276,0.004310732,1.709205827,0.004176169,1,0,1.358473355,0.509999416
477,1.51134,0,1.89065,0.00193,1.527430882,0.004337561,1.708578831,0.004134751,1,0,1.357252085,0.511903564
478,1.5113,0,1.88959,0.00194,1.527261765,0.00436439,1.708018415,0.004140206,1,0,1.3559673,0.514020952
479,1.51127,0,1.88853,0.00196,1.527092647,0.00439122,1.707457999,0.00414566,1,0,1.354682514,0.51613834
480,1.51124,0,1.88749,0.00197,1.526923529,0.004418049,1.706897583,0.004151114,1,0,1.353397729,0.518255728
481,1.5112,0,1.88648,0.00198,1.526754412,0.004444878,1.706337167,0.004156569,1,0,1.352112944,0.520373116
482,1.51117,0,1.88548,0.002,1.526585294,0.004471707,1.705776752,0.004162023,1,0,1.350828158,0.522490504
483,1.51114,0,1.88447,0.00201,1.526416176,0.004498537,1.705216336,0.004167478,1,0,1.349543373,0.524607891
484,1.5111,0,1.8834,0.00203,1.526247059,0.004525366,1.70465592,0.004172932,1,0,1.348258588,0.526725279
485,1.51107,0,1.88238,0.00204,1.526077941,0.004552195,1.704095504,0.004178387,1,0,1.346973802,0.528842667
486,1.51104,0,1.88137,0.00206,1.525908824,0.004579024,1.703535088,0.004183841,1,0,1.345689017,0.530960055
487,1.511,0,1.88037,0.00207,1.525739706,0.004605854,1.703026716,0.004206703,1,0,1.344347757,0.533326293
488,1.51097,0,1.87934,0.00209,1.525570588,0.004633577,1.702532388,0.004234263,1,0,1.342991259,0.535759682
